# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-05-18 18:26:12 -04:00	(nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08211520 Oso Ck at Corpus Christi, TX
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08211520
#    TS_ID       Parameter Description
#    142059      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	142059_00060	142059_00060_cd
USGS	08211520	2022-01-03 19:00	CST	3.21	A
USGS	08211520	2022-01-03 19:15	CST	3.21	A
USGS	08211520	2022-01-03 19:30	CST	3.21	A
USGS	08211520	2022-01-03 19:45	CST	3.28	A
USGS	08211520	2022-01-03 20:00	CST	3.21	A
USGS	08211520	2022-01-03 20:15	CST	3.21	A
USGS	08211520	2022-01-03 20:30	CST	3.15	A
USGS	08211520	2022-01-03 20:45	CST	3.21	A
USGS	08211520	2022-01-03 21:00	CST	3.15	A
USGS	08211520	2022-01-03 21:15	CST	3.21	A
USGS	08211520	2022-01-03 21:30	CST	3.15	A
USGS	08211520	2022-01-03 21:45	CST	3.21	A
USGS	08211520	2022-01-03 22:00	CST	3.21	A
USGS	08211520	2022-01-03 22:15	CST	3.15	A
USGS	08211520	2022-01-03 22:30	CST	3.15	A
USGS	08211520	2022-01-03 22:45	CST	3.15	A
USGS	08211520	2022-01-03 23:00	CST	3.01	A
USGS	08211520	2022-01-03 23:15	CST	3.01	A
USGS	08211520	2022-01-03 23:30	CST	3.08	A
USGS	08211520	2022-01-03 23:45	CST	3.21	A
USGS	08211520	2022-01-04 00:00	CST	3.08	A
USGS	08211520	2022-01-04 00:15	CST	3.01	A
USGS	08211520	2022-01-04 00:30	CST	3.08	A
USGS	08211520	2022-01-04 00:45	CST	3.08	A
USGS	08211520	2022-01-04 01:00	CST	3.01	A
USGS	08211520	2022-01-04 01:15	CST	3.08	A
USGS	08211520	2022-01-04 01:30	CST	3.08	A
USGS	08211520	2022-01-04 01:45	CST	3.01	A
USGS	08211520	2022-01-04 02:00	CST	2.95	A
USGS	08211520	2022-01-04 02:15	CST	3.08	A
USGS	08211520	2022-01-04 02:30	CST	3.01	A
USGS	08211520	2022-01-04 02:45	CST	2.95	A
USGS	08211520	2022-01-04 03:15	CST	3.01	A
USGS	08211520	2022-01-04 03:30	CST	2.95	A
USGS	08211520	2022-01-04 03:45	CST	2.88	A
USGS	08211520	2022-01-04 04:00	CST	3.01	A
USGS	08211520	2022-01-04 04:15	CST	3.01	A
USGS	08211520	2022-01-04 04:30	CST	2.94	A
USGS	08211520	2022-01-04 04:45	CST	2.94	A
USGS	08211520	2022-01-04 05:00	CST	2.94	A
USGS	08211520	2022-01-04 05:15	CST	2.94	A
USGS	08211520	2022-01-04 05:30	CST	2.88	A
USGS	08211520	2022-01-04 05:45	CST	2.94	A
USGS	08211520	2022-01-04 06:00	CST	3.01	A
USGS	08211520	2022-01-04 06:15	CST	2.94	A
USGS	08211520	2022-01-04 06:30	CST	2.94	A
USGS	08211520	2022-01-04 06:45	CST	2.94	A
USGS	08211520	2022-01-04 07:00	CST	2.94	A
USGS	08211520	2022-01-04 07:15	CST	3.08	A
USGS	08211520	2022-01-04 07:30	CST	3.01	A
USGS	08211520	2022-01-04 07:45	CST	2.88	A
USGS	08211520	2022-01-04 08:00	CST	3.01	A
USGS	08211520	2022-01-04 08:15	CST	2.94	A
USGS	08211520	2022-01-04 08:30	CST	2.94	A
USGS	08211520	2022-01-04 08:45	CST	3.07	A
USGS	08211520	2022-01-04 09:00	CST	2.94	A
USGS	08211520	2022-01-04 09:15	CST	2.94	A
USGS	08211520	2022-01-04 09:30	CST	2.94	A
USGS	08211520	2022-01-04 09:45	CST	3.01	A
USGS	08211520	2022-01-04 10:00	CST	2.94	A
USGS	08211520	2022-01-04 10:15	CST	3.01	A
USGS	08211520	2022-01-04 10:30	CST	3.01	A
USGS	08211520	2022-01-04 10:45	CST	2.94	A
USGS	08211520	2022-01-04 11:00	CST	2.94	A
USGS	08211520	2022-01-04 11:15	CST	3.07	A
USGS	08211520	2022-01-04 11:30	CST	2.94	A
USGS	08211520	2022-01-04 11:45	CST	3.01	A
USGS	08211520	2022-01-04 12:00	CST	3.01	A
USGS	08211520	2022-01-04 12:15	CST	2.94	A
USGS	08211520	2022-01-04 12:30	CST	3.14	A
USGS	08211520	2022-01-04 12:45	CST	3.07	A
USGS	08211520	2022-01-04 13:00	CST	3.07	A
USGS	08211520	2022-01-04 13:15	CST	3.21	A
USGS	08211520	2022-01-04 13:30	CST	3.07	A
USGS	08211520	2022-01-04 13:45	CST	3.14	A
USGS	08211520	2022-01-04 14:00	CST	3.14	A
USGS	08211520	2022-01-04 14:15	CST	3.21	A
USGS	08211520	2022-01-04 14:30	CST	3.27	A
USGS	08211520	2022-01-04 14:45	CST	3.21	A
USGS	08211520	2022-01-04 15:00	CST	3.07	A
USGS	08211520	2022-01-04 15:15	CST	3.34	A
USGS	08211520	2022-01-04 15:30	CST	3.27	A
USGS	08211520	2022-01-04 15:45	CST	3.27	A
USGS	08211520	2022-01-04 16:00	CST	3.34	A
USGS	08211520	2022-01-04 16:15	CST	3.27	A
USGS	08211520	2022-01-04 16:30	CST	3.27	A
USGS	08211520	2022-01-04 16:45	CST	3.27	A
USGS	08211520	2022-01-04 17:00	CST	3.34	A
USGS	08211520	2022-01-04 17:15	CST	3.27	A
USGS	08211520	2022-01-04 17:30	CST	3.27	A
USGS	08211520	2022-01-04 17:45	CST	3.41	A
USGS	08211520	2022-01-04 18:00	CST	3.27	A
USGS	08211520	2022-01-04 18:15	CST	3.14	A
USGS	08211520	2022-01-04 18:30	CST	3.34	A
USGS	08211520	2022-01-04 18:45	CST	3.20	A
USGS	08211520	2022-01-04 19:00	CST	3.27	A
USGS	08211520	2022-01-04 19:15	CST	3.34	A
USGS	08211520	2022-01-04 19:30	CST	3.48	A
USGS	08211520	2022-01-04 19:45	CST	3.14	A
USGS	08211520	2022-01-04 20:00	CST	3.48	A
USGS	08211520	2022-01-04 20:15	CST	3.27	A
USGS	08211520	2022-01-04 20:30	CST	3.27	A
USGS	08211520	2022-01-04 20:45	CST	3.20	A
USGS	08211520	2022-01-04 21:00	CST	3.27	A
USGS	08211520	2022-01-04 21:15	CST	3.20	A
USGS	08211520	2022-01-04 21:30	CST	3.27	A
USGS	08211520	2022-01-04 21:45	CST	3.14	A
USGS	08211520	2022-01-04 22:00	CST	3.20	A
USGS	08211520	2022-01-04 22:15	CST	3.20	A
USGS	08211520	2022-01-04 22:30	CST	3.14	A
USGS	08211520	2022-01-04 22:45	CST	3.00	A
USGS	08211520	2022-01-04 23:00	CST	3.20	A
USGS	08211520	2022-01-04 23:15	CST	3.14	A
USGS	08211520	2022-01-04 23:30	CST	3.14	A
USGS	08211520	2022-01-04 23:45	CST	3.20	A
USGS	08211520	2022-01-05 00:00	CST	3.20	A
USGS	08211520	2022-01-05 00:15	CST	3.14	A
USGS	08211520	2022-01-05 00:30	CST	3.14	A
USGS	08211520	2022-01-05 00:45	CST	3.14	A
USGS	08211520	2022-01-05 01:00	CST	3.00	A
USGS	08211520	2022-01-05 01:15	CST	3.07	A
USGS	08211520	2022-01-05 01:30	CST	3.13	A
USGS	08211520	2022-01-05 01:45	CST	3.07	A
USGS	08211520	2022-01-05 02:00	CST	3.13	A
USGS	08211520	2022-01-05 02:15	CST	3.00	A
USGS	08211520	2022-01-05 02:30	CST	3.13	A
USGS	08211520	2022-01-05 02:45	CST	2.94	A
USGS	08211520	2022-01-05 03:00	CST	3.07	A
USGS	08211520	2022-01-05 03:15	CST	3.20	A
USGS	08211520	2022-01-05 03:30	CST	3.00	A
USGS	08211520	2022-01-05 03:45	CST	3.13	A
USGS	08211520	2022-01-05 04:00	CST	3.07	A
USGS	08211520	2022-01-05 04:15	CST	3.07	A
USGS	08211520	2022-01-05 04:45	CST	2.94	A
USGS	08211520	2022-01-05 05:00	CST	3.00	A
USGS	08211520	2022-01-05 05:15	CST	3.07	A
USGS	08211520	2022-01-05 05:30	CST	3.07	A
USGS	08211520	2022-01-05 05:45	CST	3.00	A
USGS	08211520	2022-01-05 06:00	CST	3.07	A
USGS	08211520	2022-01-05 06:15	CST	3.13	A
USGS	08211520	2022-01-05 06:30	CST	3.20	A
USGS	08211520	2022-01-05 06:45	CST	3.07	A
USGS	08211520	2022-01-05 07:00	CST	2.93	A
USGS	08211520	2022-01-05 07:15	CST	3.00	A
USGS	08211520	2022-01-05 07:30	CST	3.07	A
USGS	08211520	2022-01-05 07:45	CST	3.07	A
USGS	08211520	2022-01-05 08:00	CST	2.93	A
USGS	08211520	2022-01-05 08:15	CST	3.07	A
USGS	08211520	2022-01-05 08:30	CST	3.00	A
USGS	08211520	2022-01-05 08:45	CST	3.13	A
USGS	08211520	2022-01-05 09:00	CST	3.07	A
USGS	08211520	2022-01-05 09:15	CST	3.00	A
USGS	08211520	2022-01-05 09:30	CST	3.00	A
USGS	08211520	2022-01-05 09:45	CST	3.07	A
USGS	08211520	2022-01-05 10:00	CST	3.06	A
USGS	08211520	2022-01-05 10:15	CST	3.06	A
USGS	08211520	2022-01-05 10:30	CST	3.13	A
USGS	08211520	2022-01-05 10:45	CST	3.00	A
USGS	08211520	2022-01-05 11:00	CST	3.06	A
USGS	08211520	2022-01-05 11:15	CST	3.13	A
USGS	08211520	2022-01-05 11:30	CST	3.06	A
USGS	08211520	2022-01-05 11:45	CST	3.20	A
USGS	08211520	2022-01-05 12:00	CST	3.13	A
USGS	08211520	2022-01-05 12:15	CST	3.20	A
USGS	08211520	2022-01-05 12:30	CST	3.13	A
USGS	08211520	2022-01-05 12:45	CST	3.20	A
USGS	08211520	2022-01-05 13:00	CST	3.27	A
USGS	08211520	2022-01-05 13:15	CST	3.20	A
USGS	08211520	2022-01-05 13:30	CST	3.27	A
USGS	08211520	2022-01-05 13:45	CST	3.33	A
USGS	08211520	2022-01-05 14:00	CST	3.26	A
USGS	08211520	2022-01-05 14:15	CST	3.20	A
USGS	08211520	2022-01-05 14:45	CST	3.26	A
USGS	08211520	2022-01-05 15:00	CST	3.20	A
USGS	08211520	2022-01-05 15:15	CST	3.20	A
USGS	08211520	2022-01-05 15:30	CST	3.20	A
USGS	08211520	2022-01-05 15:45	CST	3.13	A
USGS	08211520	2022-01-05 16:00	CST	3.20	A
USGS	08211520	2022-01-05 16:15	CST	3.26	A
USGS	08211520	2022-01-05 16:30	CST	3.26	A
USGS	08211520	2022-01-05 16:45	CST	3.26	A
USGS	08211520	2022-01-05 17:00	CST	3.33	A
USGS	08211520	2022-01-05 17:15	CST	3.33	A
USGS	08211520	2022-01-05 17:30	CST	3.20	A
USGS	08211520	2022-01-05 17:45	CST	3.33	A
USGS	08211520	2022-01-05 18:00	CST	3.26	A
USGS	08211520	2022-01-05 18:15	CST	3.13	A
USGS	08211520	2022-01-05 18:30	CST	3.26	A
USGS	08211520	2022-01-05 18:45	CST	3.40	A
USGS	08211520	2022-01-05 19:00	CST	3.33	A
USGS	08211520	2022-01-05 19:15	CST	3.26	A
USGS	08211520	2022-01-05 19:30	CST	3.20	A
USGS	08211520	2022-01-05 19:45	CST	3.26	A
USGS	08211520	2022-01-05 20:00	CST	3.13	A
USGS	08211520	2022-01-05 20:15	CST	3.40	A
USGS	08211520	2022-01-05 20:30	CST	3.33	A
USGS	08211520	2022-01-05 20:45	CST	3.19	A
USGS	08211520	2022-01-05 21:00	CST	3.33	A
USGS	08211520	2022-01-05 21:15	CST	3.19	A
USGS	08211520	2022-01-05 21:30	CST	3.19	A
USGS	08211520	2022-01-05 21:45	CST	3.33	A
USGS	08211520	2022-01-05 22:00	CST	3.26	A
USGS	08211520	2022-01-05 22:15	CST	3.26	A
USGS	08211520	2022-01-05 22:30	CST	3.33	A
USGS	08211520	2022-01-05 22:45	CST	3.13	A
USGS	08211520	2022-01-05 23:00	CST	3.26	A
